Brand_Name_s__s,Equipment_Family_s,Nominal_Speed_of_Rotation_in_Revolutions_per_Minute__rpm__d,Operating_Mode_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model__Bare_Pump__m,Individual_Model_Number__Driver___If_Applicable_m,Individual_Model_Number__Controls___If_Applicable_m,Alternate_Single_Individual_Model_Number_for_Bare_Pump_with_Driver_or_Bare_Pump_with_Driver_and_Controls_m,Pump_Configuration_s,Pump_Energy_Index__PEI__as_Determined_in_Accordance_with_the_Test_Procedure_in_Section_431_464_d,Pump_Total_Head_in_Feet_at_Best_Efficiency_Point__BEP__and_Nominal_Speed_as_Determined_in_Accordance_with_the_Test_Procedure_in_Section_431_464_d,Volume_per_Unit_Time__Flow_Rate__in_Gallons_per_Minute__gpm__at_Best_Efficiency_Point__BEP__and_Nominal_Speed_d,Full_Impeller_Diameter_in_Inches__in___d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_75__Load_Point__or_at_65__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_100__Load_Point__or_at_90__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_110__Load_Point__or_at_100__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Constant_Load_Pump_Energy_Rating__PERCL___Optional__d,For_EM_Pumps___Driver_Power_Input_at_the_75__Load_Point__or_at_65__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Driver_Power_Input_at_the_100__Load_Point__or_at_90__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Driver_Power_Input_at_the_110__Load_Point__or_at_100__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Was_the_PEICL_Calculated_or_Tested__s,For_EM_Pumps___Constant_Load_Pump_Energy_Rating__PERCL___Optional__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_25__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_50__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_75__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input__measured_as_the_input_power_to_the_driver_and_controls__at_100__Load_Point__Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_C_and_NC_Pumps___Was_the_PEIVL_Calculated_or_Tested__s,For_C_or_NC_Pumps___Variable_Load_Pump_Energy_Rating__PERVL___Optional__d,Pump_Efficiency_at_Best_Efficiency_Point__BEP__in_percent______Optional__d,For_RSV_and_ST_Pumps__the_Number_of_Stages_Tested_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Taco,In-line,1800.0,Variable Load,SKV2011A-A-4P-PD,SKV2011A-A-4P-PD,SKV2011A-A-4P-PD,SKV2011A-A-4P-PD,,C-pump sold with a motor & continuous controls,0.48,120.4610752,118.9186952,11.25,,,,,,,,,,0.690279473,1.980709456,4.595782038,8.978593896,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKV2009D-A-4P-PD,SKV2009D-A-4P-PD,SKV2009D-A-4P-PD,SKV2009D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.41,92.1639952,163.4385429,9.5,,,,,,,,,,0.494918239,1.399202586,3.23282518,6.309677362,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKV2009D-A-2P-PD,SKV2009D-A-2P-PD,SKV2009D-A-2P-PD,SKV2009D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.41,357.1303853,332.437261,9.5,,,,,,,,,,3.84672768,10.67435345,24.47959395,47.50948804,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKV2007D-A-4P-PD,SKV2007D-A-4P-PD,SKV2007D-A-4P-PD,SKV2007D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.44,51.49775132,128.8865561,7.25,,,,,,,,,,0.344499022,0.689462685,1.40043324,2.633196509,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKV2007D-A-2P-PD,SKV2007D-A-2P-PD,SKV2007D-A-2P-PD,SKV2007D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.41,204.7247373,255.5187926,7.25,,,,,,,,,,1.553392785,4.462737204,10.32230299,20.01729653,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKV2006D-A-4P-PD,SKV2006D-A-4P-PD,SKV2006D-A-4P-PD,SKV2006D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.47,37.21954406,104.5295119,6.25,,,,,,,,,,0.223597665,0.440160807,0.883057938,1.639294706,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKV2006D-A-2P-PD,SKV2006D-A-2P-PD,SKV2006D-A-2P-PD,SKV2006D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.44,145.1998189,210.8864599,6.25,,,,,,,,,,1.003247616,2.806285007,6.456631265,12.56231498,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKV1509A-A-4P-PD,SKV1509A-A-4P-PD,SKV1509A-A-4P-PD,SKV1509A-A-4P-PD,,C-pump sold with a motor & continuous controls,0.46,89.75176713,105.1379952,9.5,,,,,,,,,,0.617960382,1.287850246,2.665116405,5.041681919,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKV1509A-A-2P-PD,SKV1509A-A-2P-PD,SKV1509A-A-2P-PD,SKV1509A-A-2P-PD,,C-pump sold with a motor & continuous controls,0.45,358.1906194,214.3126274,9.5,,,,,,,,,,3.238662194,8.929330155,20.39473299,39.37923448,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKV1507D-A-4P-PD,SKV1507D-A-4P-PD,SKV1507D-A-4P-PD,SKV1507D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.45,53.20486366,87.52977473,7.25,,,,,,,,,,0.296716188,0.5824195,1.166858248,2.165260646,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKV1507D-A-2P-PD,SKV1507D-A-2P-PD,SKV1507D-A-2P-PD,SKV1507D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.42,210.9264242,176.7845364,7.25,,,,,,,,,,1.291568367,3.642649642,8.413806986,16.43323911,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKV1506D-A-4P-PD,SKV1506D-A-4P-PD,SKV1506D-A-4P-PD,SKV1506D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.46,41.10254109,66.60441745,6.25,,,,,,,,,,0.199696347,0.364622435,0.703753744,1.289118355,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKV1506D-A-2P-PD,SKV1506D-A-2P-PD,SKV1506D-A-2P-PD,SKV1506D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.41,163.626641,137.3600232,6.25,,,,,,,,,,0.775006311,2.182691775,5.01137055,9.669044507,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS8016A-A-4P-PD,SKS8016A-A-4P-PD,SKS8016A-A-4P-PD,SKS8016A-A-4P-PD,,C-pump sold with a motor & continuous controls,0.47,264.9433128,2431.122824,16.5,,,,,,,,,,16.5132254,46.35092059,108.0198873,215.5391165,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS8013D-A-4P-PD,SKS8013D-A-4P-PD,SKS8013D-A-4P-PD,SKS8013D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.47,176.0955989,2023.910055,13.5,,,,,,,,,,8.987446428,25.17637718,58.56958978,116.5652724,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS8011D-A-4P-PD,SKS8011D-A-4P-PD,SKS8011D-A-4P-PD,SKS8011D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.47,107.293353,1685.318376,11.0,,,,,,,,,,4.605902157,12.85574692,29.84124953,59.23332269,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS6013D-A-4P-PD,SKS6013D-A-4P-PD,SKS6013D-A-4P-PD,SKS6013D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.47,169.0361276,1236.534677,13.5,,,,,,,,,,5.585036654,15.52353046,35.99751984,71.46617883,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS6011D-A-4P-PD,SKS6011D-A-4P-PD,SKS6011D-A-4P-PD,SKS6011D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.45,105.6496531,1083.100588,11.0,,,,,,,,,,2.905176984,8.206983208,18.9793581,37.13127816,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS6009D-A-4P-PD,SKS6009D-A-4P-PD,SKS6009D-A-4P-PD,SKS6009D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.46,74.16899671,1068.50065,9.5,,,,,,,,,,2.050420824,5.806354942,13.39133286,26.01196967,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS6007D-A-4P-PD,SKS6007D-A-4P-PD,SKS6007D-A-4P-PD,SKS6007D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.45,42.77269711,711.0069755,7.25,,,,,,,,,,0.776221275,2.249899058,5.222248315,10.15511171,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKS6007D-A-2P-PD,SKS6007D-A-2P-PD,SKS6007D-A-2P-PD,SKS6007D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.44,169.6188148,1442.7542,7.25,,,,,,,,,,6.620873519,18.11353562,41.64724974,81.93299191,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS5007D-A-4P-PD,SKS5007D-A-4P-PD,SKS5007D-A-4P-PD,SKS5007D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.46,45.01152261,513.2401227,7.25,,,,,,,,,,0.617527546,1.782817367,4.12336748,7.973642144,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKS5007D-A-2P-PD,SKS5007D-A-2P-PD,SKS5007D-A-2P-PD,SKS5007D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.45,176.8032446,993.6652544,7.25,,,,,,,,,,4.910079104,13.2693135,30.42021081,59.89461734,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS4013D-A-4P-PD,SKS4013D-A-4P-PD,SKS4013D-A-4P-PD,SKS4013D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.45,171.0775635,609.9025188,13.5,,,,,,,,,,2.991740755,8.478878761,19.61606752,38.34214467,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS4011D-A-4P-PD,SKS4011D-A-4P-PD,SKS4011D-A-4P-PD,SKS4011D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.45,112.0807853,512.8710864,11.0,,,,,,,,,,1.532134211,4.509855349,10.53796771,20.61923765,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS4009D-A-4P-PD,SKS4009D-A-4P-PD,SKS4009D-A-4P-PD,SKS4009D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.45,81.0449344,517.9802424,9.5,,,,,,,,,,1.095999519,3.190592487,7.43217689,14.53013929,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKS4009D-A-2P-PD,SKS4009D-A-2P-PD,SKS4009D-A-2P-PD,SKS4009D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.44,314.2949047,1035.724589,9.5,,,,,,,,,,9.148508716,24.63509535,56.50948418,111.6289634,C,,,,No,No
Taco,In-line,1800.0,Variable Load,SKS4007D-A-4P-PD,SKS4007D-A-4P-PD,SKS4007D-A-4P-PD,SKS4007D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.46,47.56338358,348.8179539,7.25,,,,,,,,,,0.479899403,1.352056236,3.122563855,6.100532537,C,,,,No,No
Taco,In-line,3600.0,Variable Load,SKS4007D-A-2P-PD,SKS4007D-A-2P-PD,SKS4007D-A-2P-PD,SKS4007D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.44,186.47531,696.9020951,7.25,,,,,,,,,,3.659213386,10.08659236,23.10953613,44.92805421,C,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI1206D-2P-BP,FI1206D-2P-BP,,,,BP-bare pump,0.94,145.6809689,146.0066838,6.25,7.753037099,9.042058002,9.519051554,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI1206D-4P-BP,FI1206D-4P-BP,,,,BP-bare pump,0.92,36.62202915,71.83630608,6.25,1.041847504,1.206826897,1.271393897,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI1207D-2P-BP,FI1207D-2P-BP,,,,BP-bare pump,0.85,210.6631021,183.2198958,7.25,12.64953913,14.97689508,15.84244032,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI1207D-4P-BP,FI1207D-4P-BP,,,,BP-bare pump,0.81,53.22834651,91.13378665,7.25,1.660503952,1.971035817,2.092102318,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI1209C-2P-BP,FI1209C-2P-BP,,,,BP-bare pump,0.9,372.2661892,220.7215002,9.5,32.05590065,37.70663603,39.80531942,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI1209C-4P-BP,FI1209C-4P-BP,,,,BP-bare pump,0.86,93.7215015,105.5602649,9.5,4.07486099,4.797813493,5.064769926,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI1506D-2P-BP,FI1506D-2P-BP,,,,BP-bare pump,0.91,143.3396554,208.5976465,6.25,9.78013273,11.34385393,11.91968531,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI1506D-4P-BP,FI1506D-4P-BP,,,,BP-bare pump,0.91,36.0307484,109.0080826,6.25,1.387210459,1.604402095,1.686419406,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI1507D-2P-BP,FI1507D-2P-BP,,,,BP-bare pump,0.88,204.7633547,254.1294912,7.25,16.29304987,19.11335076,20.1181844,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI1507D-4P-BP,FI1507D-4P-BP,,,,BP-bare pump,0.85,51.28217212,127.8958189,7.25,2.108923237,2.468341142,2.599105167,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI1509D-2P-BP,FI1509D-2P-BP,,,,BP-bare pump,0.89,363.9946589,296.3703586,9.5,36.53040251,43.38566948,46.13799461,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI1509D-4P-BP,FI1509D-4P-BP,,,,BP-bare pump,0.85,91.42718807,149.8321603,9.5,4.774271159,5.672085618,6.025767598,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI1511B-4P-BP,FI1511B-4P-BP,,,,BP-bare pump,0.95,122.8062382,128.9677053,11.0,7.526012244,8.653986235,9.092827019,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI2007D-2P-BP,FI2007D-2P-BP,,,,BP-bare pump,0.91,190.5738883,332.6862459,7.25,19.46712337,22.53770149,23.56730152,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2007D-4P-BP,FI2007D-4P-BP,,,,BP-bare pump,0.88,49.04756278,168.0831159,7.25,2.539912296,2.961959853,3.110305513,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI2009D-2P-BP,FI2009D-2P-BP,,,,BP-bare pump,0.9,337.906287,448.8527495,9.5,46.73500365,54.12681192,56.59923747,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2009D-4P-BP,FI2009D-4P-BP,,,,BP-bare pump,0.86,87.3240741,215.0858158,9.5,5.893042292,6.903346067,7.249650839,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI2506D-2P-BP,FI2506D-2P-BP,,,,BP-bare pump,0.89,140.4973019,284.9875984,6.25,12.00794988,13.85648893,14.47373949,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2506D-4P-BP,FI2506D-4P-BP,,,,BP-bare pump,0.87,35.49015515,147.4204544,6.25,1.654267879,1.906077778,1.994189864,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI2507D-2P-BP,FI2507D-2P-BP,,,,BP-bare pump,0.95,189.7973834,534.6206308,7.25,29.8354027,34.90548243,36.69212691,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2507D-4P-BP,FI2507D-4P-BP,,,,BP-bare pump,0.94,47.37013802,261.9354075,7.25,3.825254398,4.47461918,4.703470938,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI2509D-2P-BP,FI2509D-2P-BP,,,,BP-bare pump,0.9,337.4317454,601.9243611,9.5,59.19762125,68.82278443,72.03290435,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2509D-4P-BP,FI2509D-4P-BP,,,,BP-bare pump,0.88,85.70062955,290.8029499,9.5,7.467163433,8.704297345,9.153620697,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2510C-4P-BP,FI2510C-4P-BP,,,,BP-bare pump,0.94,98.61175421,328.109372,10.0,10.04070323,11.9681163,12.65596125,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2511D-4P-BP,FI2511D-4P-BP,,,,BP-bare pump,0.87,118.098345,272.2909983,11.0,10.15370427,11.99474561,12.68953331,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI2513D-4P-BP,FI2513D-4P-BP,,,,BP-bare pump,0.89,177.5723617,347.312887,13.5,20.6868764,24.54161113,25.98808913,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI3007D-2P-BP,FI3007D-2P-BP,,,,BP-bare pump,0.91,185.5031866,688.5444461,7.25,35.30351792,40.67028332,42.39997632,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI3007D-4P-BP,FI3007D-4P-BP,,,,BP-bare pump,0.91,46.78770027,350.3687268,7.25,4.750722498,5.443038206,5.66641378,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI3009D-2P-BP,FI3009D-2P-BP,,,,BP-bare pump,0.94,312.1488801,1036.141853,9.5,91.40186702,104.6548857,109.0775218,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI3009D-4P-BP,FI3009D-4P-BP,,,,BP-bare pump,0.91,79.05169541,521.6807731,9.5,11.60384019,13.35125897,13.94154701,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI3011D-4P-BP,FI3011D-4P-BP,,,,BP-bare pump,0.92,112.4283905,515.7688938,11.0,16.63751132,19.49248303,20.54680914,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI3013D-4P-BP,FI3013D-4P-BP,,,,BP-bare pump,0.9,176.8089081,557.0337663,13.5,29.18157078,34.51738857,36.52656128,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI4007D-2P-BP,FI4007D-2P-BP,,,,BP-bare pump,0.93,175.551372,1015.727797,7.25,49.0739287,56.14866004,58.53870608,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI4007D-4P-BP,FI4007D-4P-BP,,,,BP-bare pump,0.92,44.33574578,531.3419848,7.25,6.658249633,7.585659659,7.895296326,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI4009D-4P-BP,FI4009D-4P-BP,,,,BP-bare pump,0.93,78.57630886,714.2651248,9.5,15.46881609,17.82676488,18.63027465,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI4011C-4P-BP,FI4011C-4P-BP,,,,BP-bare pump,0.97,118.4436102,643.9346198,11.0,22.12661071,26.25318288,27.78859511,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI4013D-4P-BP,FI4013D-4P-BP,,,,BP-bare pump,0.92,169.4220599,977.8668093,13.5,45.74141305,53.29818975,55.71190105,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,3600.0,Constant Load,FI5007D-2P-BP,FI5007D-2P-BP,,,,BP-bare pump,0.95,163.9844997,1516.806407,7.25,73.29922304,80.54481899,81.70377396,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI5007D-4P-BP,FI5007D-4P-BP,,,,BP-bare pump,0.96,40.99289922,761.29821,7.25,9.48285433,10.38524477,10.55068283,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI5009D-4P-BP,FI5009D-4P-BP,,,,BP-bare pump,0.92,72.59196611,1093.304936,9.5,21.57574115,24.13633958,24.83632362,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI5011D-4P-BP,FI5011D-4P-BP,,,,BP-bare pump,0.94,103.8407092,1068.505145,11.0,30.62771483,34.41641754,35.64864348,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI5013D-4P-BP,FI5013D-4P-BP,,,,BP-bare pump,0.93,169.97373,1263.97128,13.5,57.50218199,67.07018525,70.28498198,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI6009D-4P-BP,FI6009D-4P-BP,,,,BP-bare pump,0.94,77.39135542,1626.836777,9.5,33.65805362,38.30365949,39.94710745,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI6011D-4P-BP,FI6011D-4P-BP,,,,BP-bare pump,0.93,106.9363581,1780.030384,11.0,49.07142157,56.41858578,58.76141375,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI6013D-4P-BP,FI6013D-4P-BP,,,,BP-bare pump,0.93,174.2573486,2061.797808,13.5,91.54567538,107.3224599,112.8691836,,,,,,,,,,,,,,,No,No
Taco,End suction frame mounted/own bearings,1800.0,Constant Load,FI8013D-4P-BP,FI8013D-4P-BP,,,,BP-bare pump,0.94,164.7742841,3342.890427,13.5,142.5243179,163.9216654,171.0385017,,,,,,,,,,,,,,,No,No
Taco,In-line,3600.0,Variable Load,1911-2P-PD,1911-2P-PD,1911-2P-PD,1911-2P-PD,,C-pump sold with a motor & continuous controls,0.53,82.36877178,94.99996767,4.75,,,,,,,,,,0.648136914,1.159928763,2.213555048,4.036446574,C,,,,No,No
Taco,In-line,3600.0,Variable Load,1915-2P-PD,1915-2P-PD,1915-2P-PD,1915-2P-PD,,C-pump sold with a motor & continuous controls,0.45,149.1189762,104.7371177,6.25,,,,,,,,,,0.64985421,1.828466228,4.179485414,7.990082193,C,,,,No,No
Taco,In-line,1800.0,Variable Load,1919-4P-PD,1919-4P-PD,1919-4P-PD,1919-4P-PD,,C-pump sold with a motor & continuous controls,0.46,66.28149452,60.22008722,7.9,,,,,,,,,,0.32780603,0.636511058,1.2737384,2.38199325,C,,,,No,No
Taco,In-line,3600.0,Variable Load,1935-2P-PD,1935-2P-PD,1935-2P-PD,1935-2P-PD,,C-pump sold with a motor & continuous controls,0.48,113.8317508,182.0129707,5.75,,,,,,,,,,0.746587522,2.093965299,4.806381828,9.289809186,C,,,,No,No
Taco,In-line,1800.0,Variable Load,1935-4P-PD,1935-4P-PD,1935-4P-PD,1935-4P-PD,,C-pump sold with a motor & continuous controls,0.51,32.99859425,100.1423427,6.15,,,,,,,,,,0.215225637,0.413731276,0.820475616,1.517647668,C,,,,No,No
Taco,In-line,1800.0,Variable Load,1941-4P-PD,1941-4P-PD,1941-4P-PD,1941-4P-PD,,C-pump sold with a motor & continuous controls,0.51,57.25438486,160.1464346,7.9,,,,,,,,,,0.55695281,1.094516077,2.203497231,4.129994647,C,,,,No,No
Taco,End suction close-coupled,3600.0,Variable Load,SCI1206B-A-2P-PD,SCI1206B-A-2P-PD,SCI1206B-A-2P-PD,SCI1206B-A-2P-PD,,C-pump sold with a motor & continuous controls,0.51,145.7573295,109.9899003,6.25,,,,,,,,,,0.685111452,1.937871976,4.428744699,8.437694881,C,,,,No,No
Taco,End suction close-coupled,1800.0,Variable Load,SCI1206B-A-4P-PD,SCI1206B-A-4P-PD,SCI1206B-A-4P-PD,SCI1206B-A-4P-PD,,C-pump sold with a motor & continuous controls,0.59,35.82759133,55.35595068,6.25,,,,,,,,,,0.197066789,0.356296015,0.683907443,1.250051091,C,,,,No,No
Taco,End suction close-coupled,3600.0,Variable Load,SCI1206D-A-2P-PD,SCI1206D-A-2P-PD,SCI1206D-A-2P-PD,SCI1206D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.48,146.1094727,145.0141913,6.25,,,,,,,,,,0.782280312,2.205385845,5.063717384,9.765562569,C,,,,No,No
Taco,End suction close-coupled,1800.0,Variable Load,SCI1206D-A-4P-PD,SCI1206D-A-4P-PD,SCI1206D-A-4P-PD,SCI1206D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.5,36.81265371,70.93594056,6.25,,,,,,,,,,0.199586126,0.364273486,0.702922338,1.287482956,C,,,,No,No
Taco,End suction close-coupled,3600.0,Variable Load,SCI1207B-A-2P-PD,SCI1207B-A-2P-PD,SCI1207B-A-2P-PD,SCI1207B-A-2P-PD,,C-pump sold with a motor & continuous controls,0.53,201.5290835,154.3361335,7.5,,,,,,,,,,1.337611581,3.787147534,8.751544276,17.07309896,C,,,,No,No
Taco,End suction close-coupled,1800.0,Variable Load,SCI1207B-A-4P-PD,SCI1207B-A-4P-PD,SCI1207B-A-4P-PD,SCI1207B-A-4P-PD,,C-pump sold with a motor & continuous controls,0.61,48.29184848,78.65604371,7.5,,,,,,,,,,0.326136143,0.631211152,1.261042767,2.356765943,C,,,,No,No
Taco,End suction close-coupled,3600.0,Variable Load,SCI1207D-A-2P-PD,SCI1207D-A-2P-PD,SCI1207D-A-2P-PD,SCI1207D-A-2P-PD,,C-pump sold with a motor & continuous controls,0.42,211.0054641,182.4331952,7.25,,,,,,,,,,1.263081145,3.618167977,8.335782735,16.05200414,C,,,,No,No
Taco,End suction close-coupled,1800.0,Variable Load,SCI1207D-A-4P-PD,SCI1207D-A-4P-PD,SCI1207D-A-4P-PD,SCI1207D-A-4P-PD,,C-pump sold with a motor & continuous controls,0.43,53.43755906,90.09142141,7.25,,,,,,,,,,0.291936638,0.567333922,1.131152232,2.095912148,C,,,,No,No
